path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,50.5594,54448,12320
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,43.1892,48344,18432
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,44.3779,54548,12244
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,40.9249,52288,14492
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,46.7526,49488,17292
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,42.9995,53024,13752
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,48.9635,54732,12044
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,50.361,53744,13024
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,42.9842,52364,14412
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,49.942,54180,12592
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,41.489,50672,16088
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,44.2731,52480,14288
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,48.1426,51580,15188
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,44.8724,52504,14264
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,43.3234,49604,17168
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,48.3744,52772,14004
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,49.0802,53296,13476
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,50.1224,51608,15172
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,47.1156,52504,14264
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,47.666,54528,12248
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,46.2053,49996,16780
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,49.1142,52728,14044
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,42.6915,51192,15576
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,43.6619,49232,17540
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,43.4614,55172,11612
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,45.9937,51396,15388
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,50.1081,54024,12768
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,50.0761,53868,12904
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,47.111,53096,13680
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,51.5477,54264,12504
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,47.0434,53744,13024
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,47.6879,54596,12196
FSCHeRa,0.7,FSCHeRa,FSCHeRa,0.7,FSCHeRa,dear,50,64MB,42.051,52988,13780
